group,subfolder,document,type,url
"U-Anchor U3600","sbs-torch","Sbs Torch — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fmanufacturer-approval.pdf"
"U-Anchor U3600","sbs-torch","Sbs Torch — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fproduct-data-sheet.pdf"
"U-Anchor U3600","sbs-torch","Sbs Torch — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fsales-sheet.pdf"
"U-Anchor U3600","sbs","Sbs — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fcad.dwg"
"U-Anchor U3600","sbs","Sbs — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fdata-sheet.pdf"
"U-Anchor U3600","sbs","Sbs — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fmanufacturer-approval.pdf"
"U-Anchor U3600","sbs","Sbs — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fproduct-data-sheet.pdf"
"U-Anchor U3600","sbs","Sbs — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fsales-sheet.pdf"
"U-Anchor U3800","coatings","Coatings — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3800%2Fcoatings%2Fcad.dwg"
"U-Anchor U3800","coatings","Coatings — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3800%2Fcoatings%2Fdata-sheet.pdf"
"U-Anchor U3800","coatings","Coatings — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3800%2Fcoatings%2Fproduct-data-sheet.pdf"
"U-Anchor U3800","coatings","Coatings — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3800%2Fcoatings%2Fsales-sheet.pdf"
"Camera Mount","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fcamera-mount%2Fassembly.step"
"Camera Mount","","Case Study Houston Space Center","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fcamera-mount%2Fcase-study-houston-space-center.pdf"
"Camera Mount","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fcamera-mount%2Fdata-sheet.pdf"
"Camera Mount","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fcamera-mount%2Finstall-manual.pdf"
"Camera Mount","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fcamera-mount%2Fsales-sheet.pdf"
"Duct Securement","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fduct-securement%2Fassembly.step"
"Duct Securement","","Data Sheet 24x24 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fduct-securement%2Fdata-sheet-24x24-standard.pdf"
"Duct Securement","","Data Sheet 36x36 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fduct-securement%2Fdata-sheet-36x36-standard.pdf"
"Duct Securement","","Data Sheet 36x48 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fduct-securement%2Fdata-sheet-36x48-standard.pdf"
"Duct Securement","","Install Guide","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fduct-securement%2Finstall-guide.pdf"
"Duct Securement","","Intake Form","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fduct-securement%2Fintake-form.pdf"
"Duct Securement","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fduct-securement%2Fsales-sheet.pdf"
"Electrical Disconnect","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felectrical-disconnect%2Fassembly.step"
