status,card,type,bucket_path,url
matched,"Roof Mounted Box Installation Sheet","Installation Sheet","solutions/roof-box/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-box%2Finstall-manual.pdf"
matched,"Roof Mounted Box Sales Sheet","Sales Sheet","solutions/roof-box/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-box%2Fsales-sheet.pdf"
matched,"Roof Mounted Box Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Roof Mounted Box Step File","Step File","solutions/roof-box/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-box%2Fassembly.step"
matched,"Roof Mounted Guardrail Data Sheet","Data Sheet","solutions/roof-guardrail/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-guardrail%2Fdata-sheet.pdf"
matched,"Roof Mounted Guardrail Installation Sheet","Installation Sheet","solutions/roof-guardrail/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-guardrail%2Finstall-manual.pdf"
matched,"Roof Mounted Guardrail Sales Sheet","Sales Sheet","solutions/roof-guardrail/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-guardrail%2Fsales-sheet.pdf"
matched,"Roof Mounted Guardrail Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Roof Stairs & Walkways Data Sheet","Data Sheet","solutions/roof-stairs-walkways/single-stair/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-stairs-walkways%2Fsingle-stair%2Fdata-sheet.pdf"
matched,"Roof Stairs & Walkways Sales Sheet","Sales Sheet","solutions/roof-stairs-walkways/single-stair/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-stairs-walkways%2Fsingle-stair%2Fsales-sheet.pdf"
matched,"Roof Stairs & Walkways Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Roof Stairs & Walkways Step File","Step File","solutions/roof-stairs-walkways/double-stair/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-stairs-walkways%2Fdouble-stair%2Fassembly.step"
matched,"Satellite Installation Sheet","Installation Sheet","solutions/satellite-dish/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsatellite-dish%2Finstall-manual.pdf"
matched,"Satellite Sales Sheet","Sales Sheet","solutions/satellite-dish/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsatellite-dish%2Fsales-sheet.pdf"
matched,"Satellite Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Satellite Step File","Step File","solutions/satellite-dish/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsatellite-dish%2Fassembly.step"
matched,"Signage Sales Sheet","Sales Sheet","solutions/signage/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsignage%2Fsales-sheet.pdf"
matched,"Signage Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Solar Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Solar Step File","Step File","solutions/solar/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsolar%2Fassembly.step"
matched,"U2200 DWG","DWG","anchor/u-anchors/u2200/plate/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fcad.dwg"
matched,"U2200 Plate Sell Sheet","Sell Sheet","anchor/u-anchors/u2200/plate/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fsales-sheet.pdf"
matched,"U2200 Plate Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2200/plate/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fdata-sheet.pdf"
matched,"U2400 EDPM Install Sheet","EDPM Install Sheet","anchor/u-anchors/u2400/epdm/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Finstall-manual.pdf"
matched,"U2600 SBS Installation Sheet","SBS Installation Sheet","anchor/u-anchors/u2600/sbs/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Finstall-manual.pdf"
matched,"U2800 DWG","DWG","anchor/u-anchors/u2800/coatings/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2800%2Fcoatings%2Fcad.dwg"
matched,"U2800 Sell Sheet","Sell Sheet","anchor/u-anchors/u2800/coatings/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2800%2Fcoatings%2Fsales-sheet.pdf"
matched,"U2800 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2800/coatings/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2800%2Fcoatings%2Fdata-sheet.pdf"
matched,"U3200 DWG","DWG","anchor/u-anchors/u3200/plate/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3200%2Fplate%2Fcad.dwg"
